number,law,method,stage,object,customer,price_rub,posted,region
32616130502,223-ФЗ,Иной способ,Закупка завершена,"Поставка оборудован ия для лаборатории «Повар», расположенной в здании учебн ого корпуса по адресу: г. Североуральск, ул. Степана Разина, д. 1","ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СВЕРДЛОВСКОЙ ОБЛАСТИ ""СЕВЕРОУРАЛЬСКИЙ ПОЛИТЕХНИКУМ""",1930000.0,19.06.2026,Свердловской
0845600009626000146,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка экологических троп,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""СЛУЖБА ЗАКУПОК, ТОРГОВ И РЕКЛАМЫ ЛОМОНОСОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА""",3158000.0,18.06.2026,Не определён
32616120870,223-ФЗ,"Запрос котировок в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства",Закупка завершена,"Оборудование , инструменты и приспособления для организации учебн ого процесса по предмету технология.",МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД КРАСНОДАР СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 6 ИМЕНИ ГЕРОЯ СОВЕТСКОГО СОЮЗА МАРГЕЛОВА ВАСИЛИЯ ФИЛИППОВИЧА,901252.39,17.06.2026,Не определён
0335100016126000123,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,Поставка комплекта учебн ого оборудован ия «Теоретические основы электротехники»,"ОБОСОБЛЕННОЕ СТРУКТУРНОЕ ПОДРАЗДЕЛЕНИЕ БАЛТИЙСКАЯ ГОСУДАРСТВЕННАЯ АКАДЕМИЯ РЫБОПРОМЫСЛОВОГО ФЛОТА ФЕДЕРАЛЬНОГО ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""КАЛИНИНГРАДСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ""",772660.0,19.06.2026,Не определён
0372200106926000070,44-ФЗ,Электронный аукцион,Работа комиссии,"Поставка инструментов и оборудован ия для проведения учебн ых практик по специальностям 08.02.01, 35.02.12","САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""АКАДЕМИЯ УПРАВЛЕНИЯ ГОРОДСКОЙ СРЕДОЙ, ГРАДОСТРОИТЕЛЬСТВА И ПЕЧАТИ""",788599.94,19.06.2026,Санкт-Петербург
0365100014826000353,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,"Оборудование для лечебной, учебн ой и научной деятельности: Поставка диванов","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""СИБИРСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ",122333.33,18.06.2026,Не определён
0119200000126010744,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"ЭА-№-8614/26 «Поставка типового комплекта учебн ого оборудован ия для нужд КГБПОУ ""Канский технологический колледж"" в рамках федерального проекта ""Профессионалитет""»",АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ,1664486.67,11.06.2026,Красноярского
0336100003926000002,44-ФЗ,"Закупка, осуществляемая в соответствии с частью 12 статьи 93 Закона №",Определение поставщика завершено,,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КАЛЯЗИНСКИЙ КОЛЛЕДЖ ИМЕНИ Н. М. ПОЛЕЖАЕВА""",564300.0,26.06.2026,Не определён
32616152724,223-ФЗ,Иной способ,Закупка завершена,Поставка учебн ого оборудован ия,"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 40 Г. УЛАН-УДЭ""",790000.0,26.06.2026,Не определён
0744200000226005237,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,Поставка мебели для оснащения здания МКОУ «Знаменская средняя общеобразовательная школа»,"ОБЛАСТНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ЗАКУПОК КУРСКОЙ ОБЛАСТИ""",3392928.23,16.06.2026,Курской
0843500000226003516,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"Поставка товара на объект: «Капитальный ремонт здания МБОУ «СОШ №48», по адресу: г. Курган, микрорайон Глинки, ул. Центральная, д.24» (оснащение предметных кабинетов)","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ЗАКУПОК И БУХГАЛТЕРСКОГО УЧЕТА КУРГАНСКОЙ ОБЛАСТИ""",856939.54,17.06.2026,Курганской
0335200014926002221,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка типовых комплектов учебн ого оборудован ия для оснащения зон по видам работ в рамках ФП «Профессионалитет»,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ КАЛИНИНГРАДСКОЙ ОБЛАСТИ ""ЦЕНТР ОБЕСПЕЧЕНИЯ ОРГАНИЗАЦИИ И ПРОВЕДЕНИЯ ТОРГОВ""",4442557.0,09.06.2026,Калининградской
32616151418,223-ФЗ,Иной способ,Закупка завершена,Поставка учебн ого оборудован ия в рамках реализации Федерального проекта «Профессионалитет»,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ИРКУТСКОЙ ОБЛАСТИ ""ИРКУТСКИЙ КОЛЛЕДЖ АВТОМОБИЛЬНОГО ТРАНСПОРТА И ДОРОЖНОГО СТРОИТЕЛЬСТВА""",3160180.0,26.06.2026,Иркутской
32616152330,223-ФЗ,Иной способ,Закупка завершена,учебное оборудование,"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ПГТ. ПИОНЕРСКИЙ""",660000.0,26.06.2026,Не определён
0846600001226000067,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"Поставка робототехнического набора в рамках мероприятия: ""Приобретение технического, учебн ого и кухонного оборудован ия для оснащения начальной школы на 100 мест с. Доброе""","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР БУХГАЛТЕРСКОГО УЧЕТА И МУНИЦИПАЛЬНЫХ ЗАКУПОК"" ДОБРОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЛИПЕЦКОЙ ОБЛАСТИ",668933.36,29.05.2026,Липецкой
0336100003926000001,44-ФЗ,"Закупка, осуществляемая в соответствии с частью 12 статьи 93 Закона №",Определение поставщика завершено,,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КАЛЯЗИНСКИЙ КОЛЛЕДЖ ИМЕНИ Н. М. ПОЛЕЖАЕВА""",564300.0,26.06.2026,Не определён
0365100014826000348,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"Канцелярские, хозяйственные и иные товары для обеспечения учебн ой, медицинской и научной деятельности: поставка расходных материалов для хроматографии","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""СИБИРСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ",903248.36,17.06.2026,Не определён
