number,law,method,stage,object,customer,price_rub,posted,region
32616058021,223-ФЗ,Иной способ,Закупка завершена,"Поставка учебн о-демонстрационного оборудован ия, тактильных средств информации, детского развивающего инвентаря и снаряжения для начальной военной подготовки","МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""КЯХТИНСКАЯ СПОРТИВНАЯ ШКОЛА""",597365.15,28.05.2026,Не определён
32616058559,223-ФЗ,Иной способ,Закупка завершена,Поставка оборудован ия ( учебное ),МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ИГРИМСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМЕНИ ГЕРОЯ СОВЕТСКОГО СОЮЗА  СОБЯНИНА  ГАВРИИЛА  ЕПИФАНОВИЧА,1077500.0,28.05.2026,Не определён
32616059325,223-ФЗ,"Запрос котировок в электронной форме, участниками которого могут быть только субъекты малого и среднего предпринимательства",Закупка завершена,"Поставка оборудован ия для использования в учебн ом процессе в рамках дисциплины ""3D-печать и основы робототехники"" СПбГАСУ","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""САНКТ-ПЕТЕРБУРГСКИЙ ГОСУДАРСТВЕННЫЙ АРХИТЕКТУРНО-СТРОИТЕЛЬНЫЙ УНИВЕРСИТЕТ""",999999.99,28.05.2026,Санкт-Петербург
0813500000126009599,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,зз-0015-25919 - 2026 Поставка учебн ого оборудован ия для кабинета физики (Штатив демонстрационный),"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ УДМУРТСКОЙ РЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОК УДМУРТСКОЙ РЕСПУБЛИКИ""",1797810.0,21.05.2026,Удмуртской
32616056947,223-ФЗ,Иной способ,Закупка завершена,"Поставка товаров, учебн ых материалов, инвентаря и прочего оборудован ия для организации дополнительного образования","БЕРЕЗОВСКОЕ МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №45""",286080.5,28.05.2026,Не определён
32616056541,223-ФЗ,Иной способ,Закупка завершена,Учебн о-демонстрационное оборудование согласно инфраструктурного листа в рамках реализации федерального проекта «Профессионалитет» государственной программы Российской Федерации «Развитие образования»,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ БАШКИРСКИЙ КОЛЛЕДЖ АРХИТЕКТУРЫ, СТРОИТЕЛЬСТВА И КОММУНАЛЬНОГО ХОЗЯЙСТВА",4637453.41,28.05.2026,Не определён
0819600006026000131,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"Поставка оборудован ия по учебн ому предмету ""Музыка"" (микрофон музыкальный)","МУНИЦИПАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОБЕСПЕЧЕНИЯ ДЕЯТЕЛЬНОСТИ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ БОГУЧАНСКОГО РАЙОНА""",18838.0,19.05.2026,Не определён
0846600001226000043,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"Поставка набора по основам математики и конструирования в рамках мероприятия «Приобретение технического, учебн ого и кухонного оборудован ия для оснащения начальной школы на 100 мест с. Доброе»","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР БУХГАЛТЕРСКОГО УЧЕТА И МУНИЦИПАЛЬНЫХ ЗАКУПОК"" ДОБРОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЛИПЕЦКОЙ ОБЛАСТИ",1062270.46,12.05.2026,Липецкой
0846600001226000045,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"Поставка демонстрационных учебн о-наглядных пособий в рамках мероприятия «Приобретение технического, учебн ого и кухонного оборудован ия для оснащения начальной школы на 100 мест с. Доброе»","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР БУХГАЛТЕРСКОГО УЧЕТА И МУНИЦИПАЛЬНЫХ ЗАКУПОК"" ДОБРОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЛИПЕЦКОЙ ОБЛАСТИ",2405990.24,12.05.2026,Липецкой
32616055365,223-ФЗ,Иной способ,Закупка завершена,№ 2026ЭМ-15 для СМСП  Поставка учебн ого оборудован ия программно-аппаратных комплексов для ГАПОУ УТЭК в целях создания кластера СПО в рамках ФП «Профессионалитет» государственной программы РФ «Развитие образования»,ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ УФИМСКИЙ ТОПЛИВНО-ЭНЕРГЕТИЧЕСКИЙ КОЛЛЕДЖ,2504229.5,28.05.2026,Не определён
0376100002726000020,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка периодических изданий (второе полугодие 2026 года),"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МАЙКОПСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНОЛОГИЧЕСКИЙ УНИВЕРСИТЕТ""",2356639.95,19.05.2026,Не определён
0187300014726000939,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка оборудован ия учебн ого для отработки практических навыков,АДМИНИСТРАЦИЯ СУРГУТСКОГО РАЙОНА,250257.02,15.05.2026,Не определён
0817200000326007030,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка мебели для нужд МБОУ Залесовская СОШ №2,"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК АЛТАЙСКОГО КРАЯ""",10970629.0,08.05.2026,Алтайского
32616055220,223-ФЗ,Иной способ,Закупка завершена,"Поставка расходного учебн ого материала по направлениям: 08.02.09 Монтаж, наладка и эксплуатация электро оборудован ия промышленных и гражданских зданий и 15.02.12 Монтаж, техническое обслуживание и ремонт промышленного оборудован ия (по отраслям)","ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""БРЯНСКИЙ ТЕХНИКУМ ЭНЕРГОМАШИНОСТРОЕНИЯ И РАДИОЭЛЕКТРОНИКИ ИМЕНИ ГЕРОЯ СОВЕТСКОГО СОЮЗА М.А.АФАНАСЬЕВА""",121665.0,28.05.2026,Не определён
32616055218,223-ФЗ,Иной способ,Закупка завершена,Поставка расходного учебн ого материала по направлению: 13.01.10 «Электромонтёр по ремонту и обслуживанию электро оборудован ия (по отраслям)».,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""БРЯНСКИЙ ТЕХНИКУМ ЭНЕРГОМАШИНОСТРОЕНИЯ И РАДИОЭЛЕКТРОНИКИ ИМЕНИ ГЕРОЯ СОВЕТСКОГО СОЮЗА М.А.АФАНАСЬЕВА""",306290.0,28.05.2026,Не определён
0190200000326005789,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,Поставка типового комплекта учебн ого оборудован ия «Слесарь-монтажник КИПиА»,ДЕПАРТАМЕНТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА,2400000.0,18.05.2026,Ямало-ненецкого
0365100014826000294,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,"Оборудование для лечебной, учебн ой и научной деятельности: Светильники светодиодные внутреннего освещения и светильники светодиодные настольные","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""СИБИРСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ",1232436.1,15.05.2026,Не определён
0187300001926000142,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,Поставка оборудован ия для базового кружка технической направленности,АДМИНИСТРАЦИЯ ГОРОДА УРАЙ,491700.06,20.05.2026,Не определён
0356200010026000036,44-ФЗ,"Закупка, осуществляемая в соответствии с частью 12 статьи 93 Закона №",Определение поставщика завершено,,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЧАЙКОВСКИЙ ИНДУСТРИАЛЬНЫЙ КОЛЛЕДЖ""",2299940.33,27.05.2026,Не определён
0187300013226000016,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,Поставка товара для оснащения школы,УПРАВЛЕНИЕ ОБРАЗОВАНИЯ АДМИНИСТРАЦИИ ГОРОДА КОГАЛЫМА,1205694.02,18.05.2026,Не определён
0119200000126008929,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"ЭА-№-9118/26 «Поставка товаров для оснащения предметных кабинетов общеобразовательных организаций средствами обучения и воспитания для реализации учебн ых предметов ""Физика"" на 2026 год регионального проекта ""Всё лучшее детям"" государственной программы Красноярского края ""Развитие образования""»",АГЕНТСТВО ГОСУДАРСТВЕННОГО ЗАКАЗА КРАСНОЯРСКОГО КРАЯ,26731.7,18.05.2026,Красноярского
32616054581,223-ФЗ,Иной способ,Закупка завершена,"""Поставка учебн о-производственной мебели, оборудован ия и инструментадля оснащения образовательно-производственного центра (кластера) на базе ГАПОУ Туймазинский индустриальный колледж в рамках федерального проекта ""Профессионалитет"" государственной программы Российской Федерации «Развитие образования»",ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ТУЙМАЗИНСКИЙ ИНДУСТРИАЛЬНЫЙ КОЛЛЕДЖ,12300942.0,28.05.2026,Не определён
0373100029526000121,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка оборудован ия для обучения,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МИРЭА - РОССИЙСКИЙ ТЕХНОЛОГИЧЕСКИЙ УНИВЕРСИТЕТ""",390000.0,15.05.2026,Не определён
0372200271226000008,44-ФЗ,Электронный аукцион,Определение поставщика отменено,Поставка оборудован ия для реализации программы раннего естественно-научного образования,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД № 41 АДМИРАЛТЕЙСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА,553843.0,27.05.2026,Санкт-Петербург
0168300013026000279,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка учебн о-демонстрационного оборудован ия для кабинета физики,УПРАВЛЕНИЕ ФИНАНСОВ И МУНИЦИПАЛЬНЫХ ЗАКУПОК ГОРОДА ДИМИТРОВГРАДА УЛЬЯНОВСКОЙ ОБЛАСТИ,274251.33,19.05.2026,Ульяновской
32616053291,223-ФЗ,Иной способ,Закупка отменена,Оснащение учебн ых аудиторий ( учебн о-демонстрационное оборудование ),МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД КРАСНОДАР ЛИЦЕЙ № 4 ИМЕНИ 57-ГО ОТДЕЛЬНОГО ЗЕНИТНОГО АРТИЛЛЕРИЙСКОГО ДИВИЗИОНА ПРОТИВОВОЗДУШНОЙ ОБОРОНЫ,10112953.18,27.05.2026,Не определён
0335500000326000072,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,Поставка учебн ого и робототехнического оборудован ия для нужд Государственного бюджетного учреждения Калининградской области профессиональной образовательной организации «Педагогический колледж»,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КАЛИНИНГРАДСКОЙ ОБЛАСТИ ПРОФЕССИОНАЛЬНАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ""ПЕДАГОГИЧЕСКИЙ КОЛЛЕДЖ""",2080580.0,20.05.2026,Калининградской
32616053152,223-ФЗ,Иной способ,Закупка отменена,Оснащение учебн ых аудиторий ( учебн о-демонстрационное оборудование ),МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД КРАСНОДАР ЛИЦЕЙ № 4 ИМЕНИ 57-ГО ОТДЕЛЬНОГО ЗЕНИТНОГО АРТИЛЛЕРИЙСКОГО ДИВИЗИОНА ПРОТИВОВОЗДУШНОЙ ОБОРОНЫ,750107.29,27.05.2026,Не определён
0846600001226000044,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"Поставка дидактических и наглядных пособий в рамках мероприятия «Приобретение технического, учебн ого и кухонного оборудован ия для оснащения начальной школы на 100 мест с. Доброе»","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР БУХГАЛТЕРСКОГО УЧЕТА И МУНИЦИПАЛЬНЫХ ЗАКУПОК"" ДОБРОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЛИПЕЦКОЙ ОБЛАСТИ",1509767.0,12.05.2026,Липецкой
0338100001826000091,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Оборудование междисциплинарной лаборатории,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""КАМЧАТСКИЙ ГОСУДАРСТВЕННЫЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ""",11120000.0,30.03.2026,Не определён
0190300000726000354,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка учебн о методических комплексов,АДМИНИСТРАЦИЯ ТАЗОВСКОГО РАЙОНА,403320.67,19.05.2026,Не определён
0819600006026000130,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка оборудован ия по учебн ому предмету «Физика»,"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОБЕСПЕЧЕНИЯ ДЕЯТЕЛЬНОСТИ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ БОГУЧАНСКОГО РАЙОНА""",39867.01,18.05.2026,Не определён
0372200044026000053,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка оборудован ия для учебн ой прачечной лаборатории ЛОТ 3,"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СЕСТРОРЕЦКИЙ ТЕХНОЛОГИЧЕСКИЙ КОЛЛЕДЖ ИМЕНИ С.И. МОСИНА""",3465166.66,19.05.2026,Санкт-Петербург
0819600006026000129,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"Поставка оборудован ия по учебн ому предмету ""Физика"" (наборы демонстрационные)","МУНИЦИПАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОБЕСПЕЧЕНИЯ ДЕЯТЕЛЬНОСТИ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ БОГУЧАНСКОГО РАЙОНА""",224357.35,18.05.2026,Не определён
0139200000126006255,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,"Поставка и разгрузка оборудован ия для образовательных организаций в рамках реализации федерального проекта ""Все лучшее детям"" национального проекта ""Молодежь и дети""",ДЕПАРТАМЕНТ КОНТРАКТНОЙ СИСТЕМЫ КУЗБАССА,2850117.6,20.05.2026,Не определён
0846600001226000041,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"Поставка набора игрового для детей младшего школьного возраста по знакомству с окружающим миром в рамках мероприятия «Приобретение технического, учебн ого и кухонного оборудован ия для оснащения начальной школы на 100 мест с. Доброе»","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР БУХГАЛТЕРСКОГО УЧЕТА И МУНИЦИПАЛЬНЫХ ЗАКУПОК"" ДОБРОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЛИПЕЦКОЙ ОБЛАСТИ",1161096.62,12.05.2026,Липецкой
0846600001226000042,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"Поставка комплекта раздаточного учебн о-лабораторного и практического оборудован ия по технологии для начальных классов в рамках мероприятия «Приобретение технического, учебн ого и кухонного оборудован ия для оснащения начальной школы на 100 мест с. Доброе»","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР БУХГАЛТЕРСКОГО УЧЕТА И МУНИЦИПАЛЬНЫХ ЗАКУПОК"" ДОБРОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ЛИПЕЦКОЙ ОБЛАСТИ",1872579.45,12.05.2026,Липецкой
32616049923,223-ФЗ,Иной способ,Закупка завершена,№ 2026ЭМ-14 для СМСП: Поставка типовых комплектов учебн ого оборудован ия для ГАПОУ УТЭК в целях создания кластера СПО в рамках федерального проекта «Профессионалитет» государственной программы РФ «Развитие образования»,ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ УФИМСКИЙ ТОПЛИВНО-ЭНЕРГЕТИЧЕСКИЙ КОЛЛЕДЖ,896980.0,27.05.2026,Не определён
32616049918,223-ФЗ,Иной способ,Закупка завершена,№ 2026ЭМ-13 для СМСП: Поставка типового комплекта учебн ого оборудован ия «Обессоливание воды методом обратного осмоса» для ГАПОУ УТЭК в целях создания кластера СПО в рамках федерального проекта «Профессионалитет» государственной программы РФ «Развитие образования»,ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ УФИМСКИЙ ТОПЛИВНО-ЭНЕРГЕТИЧЕСКИЙ КОЛЛЕДЖ,2249410.0,27.05.2026,Не определён
0131300041026000064,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"Поставка мебели для обеспечения муниципальных нужд по строительству объекта ""Общеобразовательная школа на 800 учащихся в п. Воля Новоусманского района Воронежской области""",АДМИНИСТРАЦИЯ НОВОУСМАНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ВОРОНЕЖСКОЙ ОБЛАСТИ,40171533.05,15.05.2026,Воронежской
0817200000326007335,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,"Поставка учебн ого оборудован ия в рамках капитального ремонта здания МБОУ ""Кулундинская средняя общеобразовательная школа №3"" Кулундинского района Алтайского края, расположенного по адресу: 658922, Алтайский край, Кулундинский район, село Кулунда, ул. Ломоносова, д. 10""","КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК АЛТАЙСКОГО КРАЯ""",1659067.34,14.05.2026,Алтайского
0869200000226004310,44-ФЗ,Электронный аукцион,Определение поставщика завершено,"Поставка приборов, аппаратуры и устройств учебн о-демонстрационных прочих.","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОРГАНИЗАЦИИ ЗАКУПОК ЧЕЛЯБИНСКОЙ ОБЛАСТИ""",15222454.83,18.05.2026,Челябинской
32616049229,223-ФЗ,"Закупка у единственного поставщика (подрядчика, исполнителя) (до 01.07.18)",Закупка завершена,Поставка оборудован ия для формирования учебн ых классов в рамках реализации региональной программы «Поддержка развития грамотности в сфере управления беспилотными летательными аппаратами»,"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР РАЗВИТИЯ КРЕАТИВНЫХ ИНДУСТРИЙ ""ВОЛГА""",1000000.0,26.05.2026,Не определён
0373100040126000306,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка оборудован ия ( учебн о-научный комплекс для проведения практикума по квантовой оптике и квантовой информатике) для филиала МГУ в г. Сарове (ИД 87934)),"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ М.В.ЛОМОНОСОВА""",19278730.0,15.05.2026,Не определён
32616049061,223-ФЗ,Иной способ,Закупка завершена,Поставка учебн ого оборудован ия,"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ИМЕНИ ГЕРОЯ СОВЕТСКОГО СОЮЗА К. Я. ТАЛАХА""",194510.56,26.05.2026,Не определён
0194200000526003585,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Оснащение оборудование м и учебн ыми материалами кабинетов начальных классов общеобразовательной школы,КОМИТЕТ ПРАВИТЕЛЬСТВА ЧЕЧЕНСКОЙ РЕСПУБЛИКИ ПО ГОСУДАРСТВЕННОМУ ЗАКАЗУ,39001440.0,15.05.2026,Чеченской
0194200000526003498,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Оснащение оборудование м и учебн ыми материалами учебн ой мастерской и кабинета ОБЗР общеобразовательной школы,КОМИТЕТ ПРАВИТЕЛЬСТВА ЧЕЧЕНСКОЙ РЕСПУБЛИКИ ПО ГОСУДАРСТВЕННОМУ ЗАКАЗУ,7904979.0,12.05.2026,Чеченской
0813500000126009332,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,зз-0015-25183 - 2026 Поставка учебн ого оборудован ия для кабинета физики (Динамометр демонстрационный (механический),"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ УДМУРТСКОЙ РЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОК УДМУРТСКОЙ РЕСПУБЛИКИ""",1075620.0,19.05.2026,Удмуртской
32616046830,223-ФЗ,Иной способ,Закупка завершена,Поставка оборудован ия ( учебное ) для оснащения кабинета физики,"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №1""",550000.0,26.05.2026,Не определён
0813500000126009333,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,зз-0015-25064 - 2026 Поставка учебн ого оборудован ия для кабинета физики (Набор демонстрационный по динамике вращательного движения),"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ УДМУРТСКОЙ РЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОК УДМУРТСКОЙ РЕСПУБЛИКИ""",4599000.0,19.05.2026,Удмуртской
32616040906,223-ФЗ,Иной способ,Закупка завершена,Поставка учебн ого оборудован ия,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ  НОВОСИБИРСКОЙ ОБЛАСТИ ""КАРАСУКСКИЙ ПЕДАГОГИЧЕСКИЙ КОЛЛЕДЖ""",1499998.0,25.05.2026,Новосибирской
0373100028126000169,44-ФЗ,Электронный аукцион,Определение поставщика завершено,Поставка расходных материалов для работы учебн ого оборудован ия (публикуем с приложениями),"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ УНИВЕРСИТЕТ ""МЭИ""",3771026.4,14.05.2026,Не определён
0813500000126009329,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,зз-0015-25098 - 2026 Поставка учебн ого оборудован ия для кабинета физики (Набор демонстрационный по механическим явлениям),"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ УДМУРТСКОЙ РЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОК УДМУРТСКОЙ РЕСПУБЛИКИ""",4935000.0,19.05.2026,Удмуртской
0813500000126009337,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,зз-0015-25124 - 2026 Поставка учебн ого оборудован ия для кабинета физики (Набор демонстрационный по механическим колебаниям),"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ УДМУРТСКОЙ РЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОК УДМУРТСКОЙ РЕСПУБЛИКИ""",3145800.0,19.05.2026,Удмуртской
0813500000126009336,44-ФЗ,Запрос котировок в электронной форме,Определение поставщика завершено,зз-0015-24572 - 2026 Поставка учебн ого оборудован ия для кабинета физики (Набор демонстрационный по магнитному полю кольцевых токов),"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ УДМУРТСКОЙ РЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОК УДМУРТСКОЙ РЕСПУБЛИКИ""",5391750.0,19.05.2026,Удмуртской
