number,nmck,final_price,drop_pct,winner_id,has_result
0833600000826000247,748510.07,745000.0,0.47,69,1
0843500000226001584,348462.73,178000.0,48.92,70,1
0816500000626005722,81666.62,56000.0,31.43,120977191,1
0335100002226000007,1914864.02,970584.0,49.31,120948061,1
0372200132926000007,731000.0,550000.0,24.76,39,1
0816500000626005390,6243599.32,5298000.0,15.15,3058312,1
0372200001426000030,180131.25,114335.0,36.53,3086631,1
0843500000226001513,13504.55,9900.0,26.69,93,1
0365100014826000140,980240.0,137218.4,86.0,120978680,1
0179200001926000105,3295540.0,2546097.6,22.74,20,1
0387200022126000006,1519650.09,1519650.09,0.0,40,1
0372200116526000007,855800.0,635859.0,25.7,3068793,1
0372200160826000011,148125.0,91000.0,38.57,3076324,1
0843500000226001559,191753.17,108600.0,43.36,1,1
0119200000126005647,142890.33,80200.0,43.87,1,1
0372500002526000013,101334.0,31200.0,69.21,120950349,1
0816500000626005463,4163039.82,3998700.0,3.95,3056861,1
0843500000226001509,112574.33,63200.0,43.86,249,1
0373100015726000015,2717823.65,2378000.0,12.5,2,1
1091300001926000026,741223.0,401300.0,45.86,120919582,1
0313100006926000017,128000.0,79000.0,38.28,120896663,1
0387200010626000012,268822.34,139000.0,48.29,71,1
0348100099826000002,5500000.0,4420000.0,19.64,120928941,1
0119200000126004785,211025.0,185200.0,12.24,120886838,1
0372100000226000019,3225000.0,2446000.0,24.16,7,1
0372200062626000015,326200.0,253100.0,22.41,1,1
0372200077026000006,501378.82,207600.0,58.59,120847889,1
0816500000626004343,147333.31,98000.0,33.48,2981242,1
0302300032926000019,559786.5,408000.0,27.12,134,1
0816500000626004342,30799.98,17500.0,43.18,3009302,1
0130600036926000015,420266.05,295173.0,29.77,120842273,1
0340200003326003012,5553450.0,2635000.0,52.55,120843497,1
0380200000126001155,2495189.48,1480300.0,40.67,120735179,1
0172300005426000019,3099666.67,3099000.0,0.02,2941166,1
0128600006826000054,2407439.75,1890000.0,21.49,2993772,1
0843500000226001136,671405.43,345000.0,48.62,4,1
0816500000626004201,394000.0,130000.0,67.01,2980914,1
0816500000626004228,147999.99,105000.0,29.05,2980984,1
0171200001926000809,441180.0,225736.0,48.83,4,1
0843500000226001059,381372.07,157751.0,58.64,35,1
0365100014826000104,202131.63,200109.89,1.0,120814354,1
0373200638526000008,651840.67,650000.0,0.28,2980717,1
0372200085726000008,514180.05,390000.0,24.15,72,1
0372200167326000003,627946.72,320300.0,48.99,2975919,1
0380200000126000990,5132050.0,4999999.0,2.57,120690505,1
0843500000226000996,403891.4,340000.0,15.82,226,1
0372200094626000003,855800.0,501300.0,41.42,120787145,1
0843500000226000883,250228.28,214900.0,14.12,34,1
0843500000226000881,160000.0,146142.0,8.66,60,1
0843500000226000862,34928.4,26890.0,23.01,2919848,1
0843500000226000887,386103.43,224620.0,41.82,93,1
0843500000226000885,260038.72,240000.0,7.71,34,1
0142200001326005037,2484702.0,2047000.0,17.62,31,1
0130600041626000011,2388100.02,1760000.0,26.3,1,1
0372200160826000003,189440.0,131500.0,30.58,2955291,1
0372200160826000004,166350.0,110000.0,33.87,2955658,1
0843500000226000775,79099.68,58400.0,26.17,2939752,1
0372200243226000002,12523.84,8270.0,33.97,120737924,1
0372200243126000002,12100.1,9021.75,25.44,2933951,1
0843500000226000807,368205.9,199000.0,45.95,252,1
0372200151726000004,87040.34,66134.0,24.02,120671344,1
0843500000226000853,232895.15,171100.0,26.53,63,1
0372200085726000008,514180.05,390000.0,24.15,72,1
0373200638526000008,651840.67,650000.0,0.28,2980717,1
0372200167326000003,627946.72,320300.0,48.99,2975919,1
0380200000126000990,5132050.0,4999999.0,2.57,120690505,1
0843500000226000996,403891.4,340000.0,15.82,226,1
0372200094626000003,855800.0,501300.0,41.42,120787145,1
0843500000226000862,34928.4,26890.0,23.01,2919848,1
0843500000226000887,386103.43,224620.0,41.82,93,1
0843500000226000881,160000.0,146142.0,8.66,60,1
0843500000226000883,250228.28,214900.0,14.12,34,1
0843500000226000885,260038.72,240000.0,7.71,34,1
0130600041626000011,2388100.02,1760000.0,26.3,1,1
0142200001326005037,2484702.0,2047000.0,17.62,31,1
0372200160826000003,189440.0,131500.0,30.58,2955291,1
0372200160826000004,166350.0,110000.0,33.87,2955658,1
0843500000226000775,79099.68,58400.0,26.17,2939752,1
0372200243226000002,12523.84,8270.0,33.97,120737924,1
0372200243126000002,12100.1,9021.75,25.44,2933951,1
0843500000226000807,368205.9,199000.0,45.95,252,1
0843500000226000853,232895.15,171100.0,26.53,63,1
0372200151726000004,87040.34,66134.0,24.02,120671344,1
0372200033626000007,313573.79,213700.0,31.85,120703330,1
0372200033626000004,285567.74,219000.0,23.31,120673342,1
0380200000126001013,8234677.6,6777000.0,17.7,120696520,1
0162200011826000395,3587016.2,1930000.0,46.19,120686911,1
0372200151726000007,32552.27,32500.0,0.16,120717367,1
0380200000126000989,4007950.23,1962000.0,51.05,120696631,1
0372200177826000004,147690.0,98100.0,33.58,120691751,1
0372200116226000004,281600.05,173200.0,38.49,120684242,1
0372200243326000002,29674.38,23764.0,19.92,120677598,1
0362100010026000048,57826.0,39000.0,32.56,161,1
0372200151726000003,54271.05,39800.0,26.66,120683467,1
0804600012326000003,1923181.45,1634700.0,15.0,120644949,1
0372200151726000002,84879.84,42600.0,49.81,120666141,1
0372200033626000007,313573.79,213700.0,31.85,120703330,1
0372200033626000004,285567.74,219000.0,23.31,120673342,1
0162200011826000395,3587016.2,1930000.0,46.19,120686911,1
0380200000126001013,8234677.6,6777000.0,17.7,120696520,1
0372200151726000007,32552.27,32500.0,0.16,120717367,1
0380200000126000989,4007950.23,1962000.0,51.05,120696631,1
0372200177826000004,147690.0,98100.0,33.58,120691751,1
0372200116226000004,281600.05,173200.0,38.49,120684242,1
0372200243326000002,29674.38,23764.0,19.92,120677598,1
0362100010026000048,57826.0,39000.0,32.56,161,1
0372200151726000003,54271.05,39800.0,26.66,120683467,1
0804600012326000003,1923181.45,1634700.0,15.0,120644949,1
0372200151726000002,84879.84,42600.0,49.81,120666141,1
0171200001926000371,1462160.6,966700.0,33.89,161,1
0843500000226000492,1777722.23,1220000.0,31.37,158,1
0326100004126000006,1422728.05,1100000.0,22.68,226,1
0326100004126000009,1467008.04,1300000.0,11.38,36,1
0338100001826000030,4397050.0,3500000.0,20.4,163,1
0843500000226000317,91310.4,60900.0,33.3,2845913,1
0843500000226000316,144939.47,123076.0,15.08,2835960,1
0302200031726000002,457448.0,295000.0,35.51,120553681,1
0843500000226000318,30549.32,19900.0,34.86,52,1
0843500000226000301,34623.6,31555.0,8.86,1,1
0338100001826000029,4039700.0,3600000.0,10.88,96,1
0365300076226000009,1323922.66,949000.0,28.32,120518712,1
0843500000226000214,52274.3,45880.0,12.23,64,1
0843500000226000245,12014.36,7199.0,40.08,3,1
0843500000226000158,58143.79,51000.0,12.29,242,1
0373100111225000039,987000.0,900000.0,8.81,2754071,1
0171200001926000371,1462160.6,966700.0,33.89,161,1
0843500000226000492,1777722.23,1220000.0,31.37,158,1
0326100004126000009,1467008.04,1300000.0,11.38,36,1
0326100004126000006,1422728.05,1100000.0,22.68,226,1
0338100001826000030,4397050.0,3500000.0,20.4,163,1
0843500000226000316,144939.47,123076.0,15.08,2835960,1
0843500000226000317,91310.4,60900.0,33.3,2845913,1
0302200031726000002,457448.0,295000.0,35.51,120553681,1
0843500000226000301,34623.6,31555.0,8.86,1,1
0843500000226000318,30549.32,19900.0,34.86,52,1
0338100001826000029,4039700.0,3600000.0,10.88,96,1
